source_row_id,order_id,order_line_id,store_id,product_id,sale_date,quantity,unit_price,unit_cost,discount_amount,order_status,updated_at
R001,O2001,1,S001,P001,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R002,O2002,1,S002,P002,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R003,O2003,1,S003,P003,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R004,O2004,1,S004,P004,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R005,O2005,1,S001,P005,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R006,O2006,1,S002,P006,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R007,O2007,1,S003,P007,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R008,O2008,1,S004,P008,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R009,O2009,1,S001,P001,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R010,O2010,1,S002,P002,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R011,O2011,1,S003,P003,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R012,O2012,1,S004,P004,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R013,O2013,1,S001,P005,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R014,O2014,1,S002,P006,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R015,O2015,1,S003,P007,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R016,O2016,1,S004,P008,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R017,O2017,1,S001,P001,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R018,O2018,1,S002,P002,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R019,O2019,1,S003,P003,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R020,O2020,1,S004,P004,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R021,O2021,1,S001,P005,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R022,O2022,1,S002,P006,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R023,O2023,1,S003,P007,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R024,O2024,1,S004,P008,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R025,O2025,1,S001,P001,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R026,O2026,1,S002,P002,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R027,O2027,1,S003,P003,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
R028,O2028,1,S004,P004,2026-04-02,1,10.00,6.00,0.00,COMPLETED,2026-04-02T09:00:00
